Lyric,Title,Singer,Feeling,Label
Writing the words of a sermon that no one will hear,Eleanor Rigby,The Beatles,Sad,2
With a little bit of gold and a pager,Fuck Tha Police,N.W.A.,Anger,0
"Of this weed, it gives me the shit needed to be",The Way I Am,Eminem,Anger,0
All the years of useless search,Goodbye to Love,Carpenters,Sad,2
I'm deafened by the silence,Astronaut,Simple Plan,Sad,2
"Because since there's no more you, there's no more anniversary",100 Years,Five for Fighting,Sad,2
Bombing the competent,Hip Hop Sinister,Hopsin,Anger,0
I got fucked up on you,Everything Sucks,Scott Helman,Anger,0
Welcome to this one man show,So Lonely,The Police,Sad,2
We wanna live while we're young,Live While We're Young,One Direction,Joy,1
Seven years has gone so fast,Wake Me Up When September Ends,Green Day,Sad,2
Plotting when I will be dropping this Hopsin apocalypse,Hip Hop Sinister,Hopsin,Anger,0
Tell me why are we wasting time on all your wasted cryin' when you should be with me instead,Treat You Better,Shawn Mendes,Anger,0
And I know I said it a million times,One More Night,Maroon 5,Joy,1
Driving a Bentley through the battle field (huh),3Hunna,Chief Keef,Anger,0
"Please, don't leave me lonely",Why Hide,Mark Ronson,Fear,3
"Time money or energy, you will remember me",100 Years,Five for Fighting,Sad,2
It's day that Ill never miss,Lonely Day,System Of A Down,Sad,2
I wait for one to act up,Bring da Ruckus,Wu-Tang Clan,Anger,0
We some west side niggas and we runnin this shit,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
"Who wants war? My niggas fly planes into towers, Pharaohs",Hollow Points,Unknown ,Anger,0
Here I am just drownin' in the rain,Runaway Train,Soul Asylum,Sad,2
Surely time will lose these bitter memories,Goodbye to Love,Carpenters,Sad,2
"My first love,",Endliess Love,"Lionel Richie, Diana Ross",Joy,1
I'll survive in a mothafuckin' gutter,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"I slap your freak, bump you and won't speak",Fight Music,D12,Anger,0
"When push come to shove, I just stand up and scream ""f*** 'em all""",Drop the World,Lil Wayne,Anger,0
Now I'm slipping through the cracks of your cold embrace,Let me down slowly,Alec Benjamin,Sad,2
Now I'm so far away and baby I'm scared,Never Knew Lonely,Vince Gill,Fear,3
The midnight train is whining low,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
"I might blow up any minute, did it again",I Don't Give a Fuck,Tupac Shakur,Anger,0
Baby we can make it if we're heart to heart,Nothing's gonna stop us now,Mikaila,Joy,1
HiiiPower conglomerate,The Spiteful Chant,Kendrick Lamar,Anger,0
I'll tell you my sins and you can sharpen your knife,Take Me to Church,Hozier,Sad,2
"I blow sparks like Waco, Texas",Bring da Ruckus,Wu-Tang Clan,Anger,0
"I've got to be on my way, now.",A Beautiful Morning,The Rascals,Joy,1
My M.O. is man-slaughter kid,Get It On The Floor,DMX,Anger,0
"And the words fall out, but they got no place to go",Another Lonely Night,Adam Lambert,Sad,2
"Pick the world up and I'm a drop it on your f***in' head, yeah",Drop the World,Lil Wayne,Anger,0
People fall in love in mysterious ways,Thinking Out Loud,Ed Sheeran,Joy,1
"Every time I have a good time you do too (good time, hey)",I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"We don't need your money, money, monet",Price Tag,Jessie J,Disgusting,4
Can anyone see me down here,Away From the Sun,3 Doors Down,Sad,2
"Singin' sweet songs Of melodies pure and true Of melodies pure and true Saying', (this is my message to you)",Feeling Good,Michael Bublé,Joy,1
Fuck that! I'll choke radio announcer to bouncer,Kill You,Eminem,Anger,0
I'm a survivor but I got the fucking charm of a pit,Hollow Points,Unknown ,Anger,0
And look into your heart and you'll find love love love love,I'm Yours,Jason Mraz,Joy,1
"I think about you day and night, it's only right",Happy Together,The Turtles,Joy,1
"See the lights, see the party, the ball gowns",Love Story,Taylor Swift,Joy,1
And I went soft after my album raw,Hip Hop Sinister,Hopsin,Anger,0
Gats in the truck,Crunk Muzik,The Diplomats,Anger,0
Or you'll be leaving with a fat lip,Break Stuff,Limp Bizkit,Anger,0
Cause who in the hell cares,I Don't Give a Fuck,Tupac Shakur,Anger,0
Oh I'm afraid of the sunlight,sex money feelings die,Lykke Li,Sad,2
"Ah, ah, my my, what elation",Good Vibrations,The Beach Boys,Joy,1
"On the day that she left, He died, but it did not show.",The Loner,Nils Lofgren,Sad,2
And you left behind,The Spiteful Chant,Kendrick Lamar,Anger,0
But I still don't understand,Crazy in Love,Beyoncé,Joy,1
"With the echoes of the amplifiers, ringin' in your head",Turn the Page,Metallica,Sad,2
"I'm so sick of love songs, so tired of tears",100 Years,Five for Fighting,Sad,2
"I'm all out of love, what am I without you",All Out of Love,Air Supply,Sad,2
I wanna take my business else where,I Don't Give a Fuck,Tupac Shakur,Anger,0
They said I can't rap about being broke no more,Kill You,Eminem,Anger,0
I don't care who was there and who saw me just jaw you,The Way I Am,Eminem,Anger,0
"Looking so crazy, your love's",Crazy in Love,Beyoncé,Joy,1
Two can be as bad as one,One Is The Loneliest Number,Three Dog Night,Sad,2
"Always and forever I know, I can't let you go","I Like You So Much, You'll Know It",Honey Jemlan,Joy,1
Drenched in my pain again,Wake Me Up When September Ends,Green Day,Sad,2
"I shake phonies, man, you can't get next to",Crazy in Love,Beyoncé,Joy,1
"Cause I can't reach out to call you, but I know I will one day, yeah",Memories,Maroon 5,Sad,2
I was there for you,Maps,Maroon 5,Sad,2
"I search but never find, hurt but never cry",Drop the World,Lil Wayne,Anger,0
Now there's only me,the lonely,Christina Perri,Sad,2
"oo many niggas, not enough hoes",The Spiteful Chant,Kendrick Lamar,Anger,0
Just give me your smile in your heart,A Smile in your heart,Harana,Joy,1
Mutherfucker,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
"So please, please",Let me down slowly,Alec Benjamin,Sad,2
Or is it something wrose?,The River,Unknown,Fear,3
(Blunt blunt) see motherfucker we don't play for that shit,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
"I'm convinced I'm a fiend, shootin' up while this record is spinnin'",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
I miss everything we do,Half a Heart,One Direction,Sad,2
Beat a police out of shape,Fuck Tha Police,N.W.A.,Anger,0
It's all just static in my head,Astronaut,Simple Plan,Sad,2
It's so different in my head,Astronaut,Simple Plan,Sad,2
It's the kinda ending you don't really wanna see,Breathe,Taylor Swift,Sad,2
I can't be the only one who's so disconnected,Astronaut,Simple Plan,Sad,2
I'd rather rob a nigga leave him wit a shell up in his back,Get It On The Floor,DMX,Anger,0
You know I can't let you slide through my hands,Wild Horses,The Rolling Stones,Sad,2
"Including Weezys and Jeezys, if I had a genie",Agony Fires,Army of the Pharaohs,Anger,0
Each bird keeps singin' his own song.,A Beautiful Morning,The Rascals,Joy,1
I'll split your cabbage and lettuce and olives,Drop the World,Lil Wayne,Anger,0
"I've been playing myself, baby, I don't care",Crazy in Love,Beyoncé,Joy,1
Let's do some living after we die,Wild Horses,The Rolling Stones,Sad,2
All the roads you took came back to me,Maps,Maroon 5,Sad,2
Stomp on the enemy 'cause I've got the victory,Stomp,Kirk Franklin,Anger,0
Ain't nobody hurt you like I hurt you,Happier,Ed Sheeran,Fear,3
"I was in Constantinople during Ottoman's shine,",Agony Fires,Army of the Pharaohs,Anger,0
"I see trees of green, red roses too",What a Wonderful World,Ledisi,Joy,1
"You don't want none, no!",You Don't Want Drama,8Ball & MJG,Anger,0
"Ayo, this song is for anyone",The Way I Am,Eminem,Anger,0
I'mma take his wrist and break it,The Spiteful Chant,Kendrick Lamar,Anger,0
"In any climate I'm shinin', floss, I'm perfect wit timin'",You Don't Want Drama,8Ball & MJG,Anger,0
Seems like I should be getting somewhere,Runaway Train,Soul Asylum,Sad,2
Bust a toast to your real friends,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
So I give her the car keys and she helps me to bed,Wonderful Tonight,Eric Clapton,Joy,1
"Fuck this rap shit, we clap bitch, two in ya body",Move Bitch,Ludacris,Anger,0
And I know that my heart will go on,My Heart Will Go On,Celine Dion,Joy,1
"Til I have you at knife point, then you beg me to stop",Kill You,Eminem,Anger,0
I never loved someone like I love you,Never Knew Lonely,Vince Gill,Sad,2
The Grammy's and the American music shows pimp us like hoes,I Don't Give a Fuck,Tupac Shakur,Anger,0
"Set it on the microphone, and competition get blown",Bring da Ruckus,Wu-Tang Clan,Anger,0
"Hate to say I told you so, all right",Angry White Boy Polka,Weird Al Yankovic,Anger,0
Cause I know I can treat you better than he can,Treat You Better,Shawn Mendes,Sad,2
Three little birds Pitch by my doorstep,Three Little Birds,Bob Marley,Joy,1
I'm in California dreaming about who we used to be,Hello,Adele,Sad,2
I cried and cried all day,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
"Ay, you know where the niggas be at right?",I’m Supposed to Die Tonight,50 Cent,Anger,0
Sun in the sky,Feeling Good,Michael Bublé,Joy,1
River running free You know how I feel,Feeling Good,Michael Bublé,Joy,1
I would've broke my heart in two,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
And it seems like the media immediately points a finger at me,The Way I Am,Eminem,Anger,0
In this theater that I call my soul,So Lonely,The Police,Sad,2
"Another day, another lonely night",Another Lonely Night,Adam Lambert,Sad,2
"I sling though, if anything, I bling yo",Crazy in Love,Beyoncé,Joy,1
"All the same old cliché's, ""is it woman, or is it man""",Turn the Page,Metallica,Sad,2
She's giving me excitations (oom bop bop),Good Vibrations,The Beach Boys,Joy,1
I'm a good slow dancer but you'd never know,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
Freak to this motherfucker (let's get it on),Get It On The Floor,DMX,Anger,0
"And we know it's never simple,",Breathe,Taylor Swift,Sad,2
I wonder if knows that my income is more than,I Don't Give a Fuck,Tupac Shakur,Anger,0
"My proud of what is yo' turn, Jim so burned",Crunk Muzik,The Diplomats,Anger,0
"Beef, got the right mack",Move Bitch,Ludacris,Anger,0
I died a little bit inside,All I want,Joni Mitchell,Sad,2
If the weather's fine and you got the time.,A Beautiful Morning,The Rascals,Joy,1
So while you huggin' model jawns I was huggin' the block,Hollow Points,Unknown ,Anger,0
Double dare ya,Double Dare Ya,Bikini Kill,Anger,0
Of everything we've been through,Memories,Maroon 5,Sad,2
Three 6 Mafia for 12 years,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
Sixty shots a second on a hexed clock,Spikes,Death Grips,Anger,0
Allegiance to the pain,Never Be Like You, Flume ft. Kai,Anger,0
To get you out your seat,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
Slide when you rep that other side,3Hunna,Chief Keef,Anger,0
Talk about God in His mercy,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
"They can't figure him out, they like, ""Hey, is he insane?""",Crazy in Love,Beyoncé,Joy,1
I struggled to change for J. Christ to accept me,Hip Hop Sinister,Hopsin,Anger,0
Where dim lights bring forgetfulness,Lonely Street,Andy Williams,Sad,2
Cause Shady will fucking kill you (Ha-ha),Kill You,Eminem,Anger,0
I can't resist your charms,Endliess Love,"Lionel Richie, Diana Ross",Joy,1
Let's put the gats up and throw your backs up,I Don't Give a Fuck,Tupac Shakur,Anger,0
"Causin' confusion, disturbin' the peace",Move Bitch,Ludacris,Anger,0
We got the hood locked worth a 100 mill,3Hunna,Chief Keef,Anger,0
I'm lying alone with my head on the phone,All Out of Love,Air Supply,Sad,2
"I seen nights full of pain, days are the same",Drop the World,Lil Wayne,Anger,0
So stop playing girl and come on home (come on home),Lonely,Akon,Sad,2
"You know it's always dark and dreary since I broke off, baby, with",Lonely Avenue,"Ray Charles, Doc Pomus",Sad,2
And I can only play that part,So Lonely,The Police,Sad,2
But the cops getting dropped by the gun shot,I Don't Give a Fuck,Tupac Shakur,Anger,0
See your true colors,Angry White Boy Polka,Weird Al Yankovic,Anger,0
We make our great escape,Down,Jay Sean,Joy,1
"Served to survive, murdered and bribed",Drop the World,Lil Wayne,Anger,0
Bought a ticket for a runaway train,Runaway Train,Soul Asylum,Sad,2
I'm in love with your body,Shape of you,Ed Sheeran,Joy,1
"When I cock that tool, nigga run your damn jewels",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
Everybody heard that I fuck with Dre,The Spiteful Chant,Kendrick Lamar,Anger,0
But I just can't convince myself,So Lonely,The Police,Sad,2
I'm running and a-crying,Angry White Boy Polka,Weird Al Yankovic,Anger,0
(Enough is enough) No more walkin 'round with my head down,100 Years,Five for Fighting,Sad,2
Ride into the sun,Angry White Boy Polka,Weird Al Yankovic,Anger,0
She's in love with the world,Angry White Boy Polka,Weird Al Yankovic,Anger,0
Singing' don't worry about a thing Cause every little thing gonna be alright,Three Little Birds,Bob Marley,Joy,1
There's nothing left to lift me up,Away From the Sun,3 Doors Down,Sad,2
"This is, what you thought it wasn't",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
My ignorance has struck again,Sorry,Halsey,Sad,2
My vessel thrown like slack at the wind,Spikes,Death Grips,Anger,0
Wonder this time where she's gone,Ain't No Sun Shine,Bill Withers,Sad,2
You are someone else,Hurt,Johnny Cash,Sad,2
"I see you, I feel you",My Heart Will Go On,Celine Dion,Joy,1
"Honey, you lied when you said you loved me",Are You Lonesome Tonight,Elvis Presley,Sad,2
In your darkest times,Maps,Maroon 5,Sad,2
I've been thinkin' 'bout my father lately,Loneliness,Unknown,Sad,2
This time I'm 'a let it all come out,Angry White Boy Polka,Weird Al Yankovic,Anger,0
I would've said what I wanted to,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
Give me some sunshine,Unknown,Unknown,Sad,2
I failed to see it from the start,Sorry,Halsey,Sad,2
Turn away 'cause I need you more,We Found Love,Rihanna,Joy,1
The needle tears a hole,Hurt,Johnny Cash,Sad,2
I don't even believe in breathin',Kill You,Eminem,Anger,0
It's not the Russian it's the Wu-Tang crushin',Bring da Ruckus,Wu-Tang Clan,Anger,0
And I know we haven't talked in a while,Let me down slowly,Alec Benjamin,Sad,2
"The genuine article, I do not sing though",Crazy in Love,Beyoncé,Joy,1
In half and please bring me cake back,Crunk Muzik,The Diplomats,Anger,0
I will make you hurt,Hurt,Johnny Cash,Sad,2
Shouldn't exist,Lonely Day,System Of A Down,Sad,2
"I don't know, she wouldn't say",Yesterday,The Beatles,Sad,2
Diggy said the boogie said up jump the boogie,Angry White Boy Polka,Weird Al Yankovic,Anger,0
Toast to the ones that we lost on the way,Memories,Maroon 5,Sad,2
I'll walk the streets at night,Love Is Like Oxygen,Sweet,Joy,1
Try to tell you no but my body keeps on telling you yes,One More Night,Maroon 5,Joy,1
"And oh, I've known it for the longest time",I’m a Mess,Ed Sheeran,Sad,2
My Wu-Tang slang is mad fuckin' dangerous,Bring da Ruckus,Wu-Tang Clan,Anger,0
Oh I'm a mess right now,I’m a Mess,Ed Sheeran,Sad,2
"I'll bite your motherfuckin' style, just to make it fresher",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
You give a chick hard dick and bubblegum (Ay!),Crunk Muzik,The Diplomats,Anger,0
Penelope pump let off six whole rounds (boom!),Crunk Muzik,The Diplomats,Anger,0
Boys out here ain't hard as us,You Don't Want Drama,8Ball & MJG,Anger,0
"If you see him in the subway, He'll be down at the end of the car.",The Loner,Nils Lofgren,Sad,2
"Really mistreat him, let's Rodney King him and over beat him",You Don't Want Drama,8Ball & MJG,Anger,0
See the butterflies color's,Rainbow,Unknow,Joy,1
I said you don't wanna fuck with Shady ('Cause why?),Kill You,Eminem,Anger,0
"A lush that love to drink, drunk drivin a tank",Fight Music,D12,Anger,0
(love is like oxygen),Love Is Like Oxygen,Sweet,Joy,1
But there's a method to my madness unusual still,Hollow Points,Unknown ,Anger,0
"I hold the heaters low and ground you up inside a Peter Roll,",Agony Fires,Army of the Pharaohs,Anger,0
"I'm high, I'm smoking ganja (smoking ganja)",3Hunna,Chief Keef,Anger,0
I feel so bad I got a worried mind,Blue Bayou,Linda Ronstadt,Sad,2
Cause I talk with an accent and grab on my balls,The Way I Am,Eminem,Anger,0
Shit not even my bed sheets,Hip Hop Sinister,Hopsin,Anger,0
Sorry that I can't believe that anybody ever really,Sorry,Halsey,Sad,2
"All through the hood, I keep hearin' niggas sayin'",I’m Supposed to Die Tonight,50 Cent,Anger,0
So keep actin' like you don't know where the funds at,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
"Lit trying to get a hit, hungry for this money",Hollow Points,Unknown ,Anger,0
I'm from that ATL ho,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
And check out the man he goes by the name of er,Just Don't Give a Fuck (a cappella),Eminem,Anger,0
An empty house,My Love,Westlifes,Sad,2
It was just like a movie,When we are young,Adele,Fear,3
That's what my therapist say,I'm a Mess,Bebe Rexha,Sad,2
And I realized she was the crazy one,Kill You,Eminem,Anger,0
Always seems to know the way,Lovely Day,Bill Withers,Joy,1
"You and I get so damn dysfunctional, we start keeping score",One More Night,Maroon 5,Joy,1
"I've learned to lose you, can't afford to",when the party's over,Billie Eilish,Sad,2
Remember we used to pull up and let 'em fight? That's that hood time,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
I'm sick and tired of walkin' around like this,Lonelier Than This,Steve Earle,Sad,2
Now it's all out and you knew,Angry White Boy Polka,Weird Al Yankovic,Anger,0
And that's one in the chamber,Bring da Ruckus,Wu-Tang Clan,Anger,0
Such a funny thing for me to try to explain,Crazy in Love,Beyoncé,Joy,1
"This roof is caving in, up its time to raise it then",Drop the World,Lil Wayne,Anger,0
So hard to breathe,Show Me the Meaning of Being Lonely,Backstreet Boys,Sad,2
From in-school to before school to outta school,Kill You,Eminem,Anger,0
"I'm so over bein' blue, cryin' over you; and",100 Years,Five for Fighting,Sad,2
Life's mystery seems so faded,Runaway Train,Soul Asylum,Sad,2
"Every ounce of energy, you try and give away",Turn the Page,Metallica,Sad,2
Paranoid thief that'll steal from his own moms,Fight Music,D12,Anger,0
Now I don't know what to be without you around,Breathe,Taylor Swift,Sad,2
No one comes near,Eleanor Rigby,The Beatles,Sad,2
"It's okay, wednesday, thursday, it's okay,",A Beautiful Morning,The Rascals,Joy,1
"It's a love story baby just say ""Yes""",Love Story,Taylor Swift,Joy,1
"Move bitch, get out the way",Move Bitch,Ludacris,Anger,0
"Oh, I'm so lonely",Lonely,Akon,Sad,2
I never knew lonely til you,Never Knew Lonely,Vince Gill,Sad,2
These motherfuckers are thinkin' I'm playin',Kill You,Eminem,Anger,0
Now you are just somebody that I used to know,Somebody that I used to know,Gotye,Anger,0
I'm skidding out,Spikes,Death Grips,Anger,0
They have the authority to kill a minority,Fuck Tha Police,N.W.A.,Anger,0
"Hulk, you're trapped in my medicine ball",Drop the World,Lil Wayne,Anger,0
The sound of your heart beating Made it clear,The Power Of Love,Celine Dion,Joy,1
And I will stumble and fall,Say Something,A Great Big World,Sad,2
A bloodstain is orange after you wash it,Kill You,Eminem,Anger,0
I pack a chainsaw I'll skin your ass raw ,Break Stuff,Limp Bizkit,Anger,0
We danced for hours in the sand,Señorita,"Camila Cabello, Shawn Mendes",Joy,1
I feel so,So Lonely,The Police,Sad,2
They're only saying I love you,What a Wonderful World,Ledisi,Joy,1
Than George Zimmerman in his car chillin',Hip Hop Sinister,Hopsin,Anger,0
"Got me looking so crazy right now, your touch",Crazy in Love,Beyoncé,Joy,1
Hate to fall but never wreck his car,Get It On The Floor,DMX,Anger,0
"It's not about the money, money, money",Price Tag,Jessie J,Disgusting,4
It seems no one can help me now,Runaway Train,Soul Asylum,Sad,2
"Barack wants help, all my bodies buy 'em chalk",Hollow Points,Unknown ,Anger,0
I truly am indeed,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
But nobody waitin' 'round with me,Now or Never,Halsey,Anger,0
And I'd be singing this lonely tune,Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
Hop just let the beast unleashed,Hip Hop Sinister,Hopsin,Anger,0
"My book of rhymes, got 'em cookin', boy",Drop the World,Lil Wayne,Anger,0
"Please, please stand up",Angry White Boy Polka,Weird Al Yankovic,Anger,0
Gotta keep those lovin' good vibrations a-happenin' with her,Good Vibrations,The Beach Boys,Joy,1
"I'm pickin' up good vibrations (good vibrations, oom bop bop)",Good Vibrations,The Beach Boys,Joy,1
No is the saddest experience you'll ever know,One Is The Loneliest Number,Three Dog Night,Sad,2
"He's a perfect stranger, Like a cross of himself and a fox.",The Loner,Nils Lofgren,Sad,2
Acting so damn mysterious,Price Tag,Jessie J,Disgusting,4
"It's elementary, life is but a dream",I’m Supposed to Die Tonight,50 Cent,Anger,0
Dare ya to be who you will,Double Dare Ya,Bikini Kill,Anger,0
You know what the movemets like,Crunk Muzik,The Diplomats,Anger,0
Come on and bring the ruckus,Bring da Ruckus,Wu-Tang Clan,Anger,0
Cause ladies' screams keep creepin' in Shady's dreams,Kill You,Eminem,Anger,0
I like the dimples on the corners of the smile that you wear,"I Like You So Much, You'll Know It",Honey Jemlan,Joy,1
Fuck your love songs,Fight Music,D12,Anger,0
Make it somehow all seem worthwhile,Runaway Train,Soul Asylum,Sad,2
"I was a martyr, it was horror when my father was sick",Hollow Points,Unknown ,Anger,0
Love is like oxygen,Love Is Like Oxygen,Sweet,Joy,1
There in the midst of it so alive and alone,Hurt,Johnny Cash,Sad,2
"But I'm glad, 'cause they feed me the fuel that I need",The Way I Am,Eminem,Anger,0
Who if He really does exist,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
Looking forward to happier times,Blue Bayou,Linda Ronstadt,Sad,2
And I think to myself what a wonderful world,What a Wonderful World,Ledisi,Joy,1
If he gave me a handout,The Spiteful Chant,Kendrick Lamar,Anger,0
Throw me in the cuffs with just two niggas,I Don't Give a Fuck,Tupac Shakur,Anger,0
And drastic movement of people actin stupid,Fight Music,D12,Anger,0
Cause I'm fucking up your program,Break Stuff,Limp Bizkit,Anger,0
When I step inside the boot and rhyme,Hip Hop Sinister,Hopsin,Anger,0
"To do it again, then if he does it again",Kill You,Eminem,Anger,0
If you stop to get some Zs I just haunt you in your dreams,Agony Fires,Army of the Pharaohs,Anger,0
Time is no healer,Love Is Like Oxygen,Sweet,Joy,1
Wrong way on a one way track,Runaway Train,Soul Asylum,Sad,2
"Control gets old, I smash out my skin",Spikes,Death Grips,Anger,0
"We smokin', straight loc'n, locked and loaded",I’m Supposed to Die Tonight,50 Cent,Anger,0
I wish the couple on the corner would just get a room,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
"And it's so, it's so sad to think that she don't see what I see",Just The Way You are,Bruno Mars,Sad,2
"And this thing turned out so evil, I don't know why I'm still suprised",Love The way you lie,"Eminem, ft. Rihanna",Suprise,5
The days we had,My Love,Westlifes,Sad,2
"You're payin'? Is the amount cleanin' you out, am I satisfactory?",bury a friend,Billie Eilish,Anger,0
Them niggas be drumming,3Hunna,Chief Keef,Anger,0
"I can't, Breathe,Without you,",Come Back...Be Here,Taylor Swift,Sad,2
So lost,Faded,Alan Walker,Fear,3
I'm the last of the best (best),Crunk Muzik,The Diplomats,Anger,0
Cause everybody's got somebody but me,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
Don't wanna start another fire,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
"Impulsive thinker, compulsive drinker, addict",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
If I could find that lonely street,Lonely Street,Andy Williams,Sad,2
"Dishes breaking, dishes breaking",Breakin' Dishes,Rihanna,Anger,0
Like I could disappear and you…,Never Be Like You, Flume ft. Kai,Anger,0
Cause inside you're ugly,Angry White Boy Polka,Weird Al Yankovic,Anger,0
And the world's alright with me,Lovely Day,Bill Withers,Joy,1
Cause my heart breaks a little when I hear your name,When I Was Your Man,Bruno Mars,Sad,2
I'm over this,Away From the Sun,3 Doors Down,Sad,2
You got skill?,Hip Hop Sinister,Hopsin,Anger,0
Mjg is the reason yo season needed seasonal spices,You Don't Want Drama,8Ball & MJG,Anger,0
I be airing rappers out like I'm sponsored by Febreeze,Agony Fires,Army of the Pharaohs,Anger,0
All by myself Anymore,All by Myself,Celine Dion,Sad,2
Because I'm happy,Happy,Pharrel Williams,Joy,1
"Imagine how the world could be, so very fine",Happy Together,The Turtles,Joy,1
Living that life and counting this cash,The Spiteful Chant,Kendrick Lamar,Anger,0
I think I'll up my high by slittin your throat,Fight Music,D12,Anger,0
"Listen it's, lil' fame right?",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
"Never knew a love like this, now I can't let go","I Like You So Much, You'll Know It",Honey Jemlan,Joy,1
It is time to scuba dive,Hip Hop Sinister,Hopsin,Anger,0
Show you machine gun funk,Fight Music,D12,Anger,0
"No, I ain't bitter, I don't give a fuck",Move Bitch,Ludacris,Anger,0
It's the way that you know what I thought I knew,Crazy in Love,Beyoncé,Joy,1
"But as long as I got my gun, I'm aight",Get It On The Floor,DMX,Anger,0
I'm cooling wit my youngins,3Hunna,Chief Keef,Anger,0
A lovely day,Lovely Day,Bill Withers,Joy,1
I am talking to the moon still trying to get to you,Talking To The Moon,Bruno Mars,Sad,2
Pawns tremble like dildos wielded by duppies,Spikes,Death Grips,Anger,0
We catch bodies for the love of the block,Hollow Points,Unknown ,Anger,0
"Permanently, B****, it's beddy-bye",Drop the World,Lil Wayne,Anger,0
Damn right I'm a maniac,Break Stuff,Limp Bizkit,Anger,0
"All black UConn, shoes on everyday,",Agony Fires,Army of the Pharaohs,Anger,0
I see no justice,I Don't Give a Fuck,Tupac Shakur,Anger,0
And all I remember is your back,Piece by Piece,Adele,Sad,2
You know how I feel,Feeling Good,Michael Bublé,Joy,1
Runaway train never going back,Runaway Train,Soul Asylum,Sad,2
Got a new blow-up doll and just had a strap-on added,Kill You,Eminem,Anger,0
"No, no, I like my bitch conceited (my bitch conceited)",3Hunna,Chief Keef,Anger,0
Nothing you can sing that can't be sung,All You Need is Love,The Beatles ,Joy,1
He's a feeling arranger And a changer of the ways he talks.,The Loner,Nils Lofgren,Sad,2
I thought I was supposed to be this hip hop savior,Hip Hop Sinister,Hopsin,Anger,0
"And when I'm finished, it's gonna be a bloodbath",Fuck Tha Police,N.W.A.,Anger,0
"Waiting for a pussy to creep, give him my best shot",Hollow Points,Unknown ,Anger,0
"I'm in love with you, and now you know","I Like You So Much, You'll Know It",Honey Jemlan,Joy,1
"I shine so hard, I make motherfuckers wan' kill me",I’m Supposed to Die Tonight,50 Cent,Anger,0
Call me Richochet Rabbit,Crunk Muzik,The Diplomats,Anger,0
"I scream on ya ass like your dad, bring it on",Bring da Ruckus,Wu-Tang Clan,Anger,0
"Slim Shady, brain dead like Jim Brady",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
"Click clack, pow, now he runnin'",3Hunna,Chief Keef,Anger,0
Me deal with the scene rough like crime,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"Clinically brain dead, I don't need a second opinion",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
"Love you every minute, every second","I Like You So Much, You'll Know It",Honey Jemlan,Joy,1
"Bitch, I'ma kill you! I ain't done, this ain't the chorus",Kill You,Eminem,Anger,0
And if you won't come back to me,Are You Lonesome Tonight,Elvis Presley,Sad,2
"Know it sounds like rap, but this shit is real B",I’m Supposed to Die Tonight,50 Cent,Anger,0
"One last kiss, then catch your flight",Come Back...Be Here,Taylor Swift,Sad,2
If I showed you my flaws,Locked away,R. City,Fear,3
Fuck you to the San Francisco police department,I Don't Give a Fuck,Tupac Shakur,Anger,0
"I ain't ""acid rap, "" but I rap on acid",Kill You,Eminem,Anger,0
Don't you know this lonely boy loves you,Hey There Lonely Girl,Eddie Holman,Sad,2
"Bitches too, you ain't nothin' but a girl to me",Kill You,Eminem,Anger,0
"That I done you wrong, and I mean to know",The Spiteful Chant,Kendrick Lamar,Anger,0
"Dickhead, fuckface, cock smoking, mother fucking ass hole",Platypus,Unknown,Anger,0
But nigga I'm 3hunna,3Hunna,Chief Keef,Anger,0
The ROC handle like Van Axel,Crazy in Love,Beyoncé,Joy,1
