Lyric,Emotion
Tears streaming down your face,Sad
And now that I can put this down,Sad
I've forgotten how it felt,Sad
Do you miss me tonight?,Sad
Far across the distance,Joy
I'm Mr. Lonely,Sad
Welcome to this one man show,Sad
I don't trust no one around us,Sad
Like a madman laughin' at the rain,Sad
"Wasted on you, high on the fumes",Sad
"Someday at Christmas we'll see a man
With no hungry children, no empty hand",Joy
"Today I don't feel like doing anything
I just wanna lay in my bed",Joy
"Emasculate, gouging crotches I will eat",Fear
A lovely day,Joy
Know say you wan' gimme suckle and corn,Joy
The whispers in the morning Of lovers sleeping tight,Joy
When the world outside's too much to take,Joy
But in my mind I play it back,Sad
Everybody's got somebody but me,Sad
I'll go sit on the floor wearing your clothes,Sad
My spirit does not rest.,Fear
A little bigger not smaller,Joy
I wrench the blade from the chest to the crotch,Fear
"The bright blessed day, the dark sacred night",Joy
"I always feel like somebody's watchin' me
And I have no privacy
I always feel like somebody's watchin' me
Is it just a dream?",Fear
Blue is the color of a blueberry,Joy
And sit and nurse my broken heart,Sad
Seems impossible to face,Joy
"(Uh oh, uh oh, uh oh, oh, no, no) I been iller than chain smokers",Joy
"I see trees of green and red roses too
I'll watch then bloom just for me and you
And I think to myself
Oh, what a wonderful world",Joy
"Walking down the street, the smell of death in the air",Fear
Spinning faster than the plane that took you,Sad
As I smear my blood on thy sword,Fear
"With excremental lubricant I force them down in her cunt
Violently piercing her insides - Emotions I can no longer hide",Fear
I screamed in agony when I felt it started to shove up my ass,Fear
Cause one is the loneliest number that you'll ever do,Sad
I love you 'til the last of snow disappears,Joy
Fish in the sea You know how I feel,Joy
Can't hide from being eaten from inside,Fear
"I want to walk with you, and talk with you,",Joy
Pick your body up and drop it on the floor,Joy
Tryin' to save a part of you,Sad
"And she gon' squish it like squish, then go fast, she Speed Racer",Joy
"Growing, we do it every day
Where growing when where sleeping
And even when we play
'Cause I'm growing and so are you",Joy
"Cause I can't reach out to call you, but I know I will one day, yeah",Sad
Out of the stillness Soft spoken words,Joy
"I'm so fed up with my thoughts of you, and your memory",Sad
And that's when you need me there,Sad
"Fancy is free
But are we bound
To each other by love,",Joy
"Flowers of every color, they look so pretty too!",Joy
We make our great escape,Joy
Have finally reached an end,Sad
And don't it feel good,Joy
My ribs are crushed,Fear
"The sun, and it sets on the ripe strawberry",Joy
"They say, oh my god, I see the way you shine",Joy
"You better watch out
You better not cry
You better not pout
I'm telling you why
Santa Claus is comin' to town",Joy
Builds my body and it makes my brain grow,Joy
May there always be angels to watch over you,Joy
I just need you now,Sad
"Joy to the World, the Savior reigns!
Let men their songs employ
While fields and floods, rocks, hills and plains
Repeat the sounding Joy",Joy
"Hey, hey, baby
I wanna know if you'll be my girl",Joy
I'm lying alone with my head on the phone,Sad
I feel so alone,Sad
Ever since he broke your heart,Sad
This time I have really led myself astray,Sad
I got all my sisters with me,Joy
Pawn of torturous punishment,Fear
"Playing outside, it's a beautiful day",Joy
"I'm so tired of on my own,",Sad
"The only one for me is you, and you for me",Joy
Tormented and torn apart,Sad
I-I love the colorful clothes she wears,Joy
When the lights go bright girl,Joy
Internal organs altered by the disease,Fear
Same old empty feeling in your heart,Sad
No words were ever spoken,Sad
My endless love,Joy
This is Halloween!,Fear
You never said goodbye,Sad
"I've got to cover ground, you couldn't keep me down.",Joy
The face I came to know is missing too,Sad
"Oh, my my, what elation",Joy
Somewhere I've never been,Joy
Cause it's dark out here and I can't find you ,Sad
Waltzing the waves,Joy
Never thought we'd have a last kiss,Sad
But dreams come slow and they go so fast,Sad
"Yeah, they feed off me, they feed off me",Fear
I even love the rain when you're here with me,Joy
Sometimes I cry babe,Sad
Cause everybody's got somebody but me,Sad
"Will I die or survive
From this hell made of ice?",Fear
"But it seems like trees might be worth a try
So I say let it grow",Joy
Let me make your broken heart like new,Sad
All the worlds been praying,Joy
You are the One who's hands lift us from the grave,Joy
But everything gon' be alright,Sad
an old memory and me,Sad
Just one look at you,Joy
"Merry Christmas
Shake a hand, shake a hand now
Wish you brother Merry Christmas
All over the land",Joy
"We'll always be together, don't you worry
I'll always be by your side, don't you worry
The circle will never end, just know that we'll meet again
And we'll always be together, forever, always",Joy
I'm still all alone,Sad
"And I, I hate to see your heart break",Sad
"And no one had to pay for air
So I say let it grow",Joy
"I am here, If you need me, yeah
I'm in the wind , look for me friend
I'm in the stars, when you need me
The heavens will send a message within
Straight to your heart, ooh",Joy
I'm fallin' again,Sad
"This ain't a dream, I can't escape",Fear
"I saw that both your smile were twice as wide as ours
Yeah you look happier you do

",Joy
And at first I thought it was a lie,Sad
Another day without your smile,Sad
"I want to share
All my love with you
No one else will do...
And your eyes
Your eyes, your eyes
They tell me how much you care
Ooh yes, you will always be
My endless love",Joy
"Oh, I feel it so, so deep inside",Sad
"And when I waken next to you
I know we're not the lonely people that we used to be, used to be
I'm never giving up on this",Joy
And you are my man,Joy
Your daddy can't even look me in the eye,Sad
Everything's gonna be alright,Sad
Do you see how much I need you right now?,Sad
"I'm so over bein' blue, cryin' over you; and",Sad
"Painful rain, sun and rain
Find my way in nature's chain",Joy
"Heed, it commands, heed my will",Fear
I am all alone,Sad
"Always and forever I know, I can't let you go",Joy
Whenever you're around and whenever you're around,Joy
Watch her come to my lights like a reindeer,Joy
"Use 'em in the morning, at noon and night
'Cause it's a great way to be polite
'Please and thank you'
They're the magic words",Joy
Another day has gone,Sad
The delicate beginning rush,Sad
I want to grow old with you,Fear
I was so scared to face my fears,Fear
Were just thrown away,Sad
Brighter than tomorrow,Joy
"I'm all out of love, what am I without you",Sad
"Desmond takes a trolley to the jeweller's store
Buys a twenty carat golden ring
Takes it back to Molly waiting at the door
And as he gives it to her she begins to sing",Joy
To tell you I'm sorry for breaking your heart,Sad
Is light years away,Joy
That all of my words will always be low,Sad
Cradles in the trees,Joy
I would've said what I wanted to,Sad
Grapple with headless bodies,Fear
"Under the moonlight, you see a sight that almost stops your heart",Fear
When I was at my worst,Sad
"(Uh oh, uh oh, uh oh, oh, no, no) Fall back, young, ever since I made the change over",Joy
Ain't no sunshine when she's gone,Sad
The map that leads to you,Sad
"Got me looking so crazy right now, your touch",Joy
"Let's chop some Broccoli
(Broccoli na - na - na)",Joy
He's the hairy-handed gent,Fear
But everybody's got somebody but me,Sad
Downtown everything's waiting for you,Joy
"I talked to your dad, go pick out a white dress",Joy
Let me let you go,Sad
"When I wake up in the morning, love",Joy
And in the sunshine we will play,Joy
I'll worship like a dog at the shrine of your lies,Sad
I can feel the devil walking next to me.,Fear
You brighten my dat,Joy
the sand tastes like blood,Fear
"Look at the stars, look how they shine for you and everything you do, like they were all yellow.",Joy
It's day that Ill never miss,Sad
Tell me I'm alive.,Fear
And there's nothing I can do,Sad
You're every breath that I take,Joy
Singing' don't worry about a thing Cause every little thing gonna be alright,Joy
A thousand miles between us now,Sad
The autumn leaves of red and gold,Joy
And heard the sweetest sound,Joy
"Look down from the sky
And stay by my side
Until morning is nigh",Joy
"Run, run, run, run, run, run",Fear
"Cause I'm falling deeper, baby, be prepared",Joy
"Ah, in my heart.",Joy
"Ooh if I was in their shoes, I'd be doing the same thing",Sad
Colorful flowers and colorful folks,Joy
When you're ridin' sixteen hours and there's nothin' much to do,Sad
A place where there's just loneliness,Sad
Dance the night away,Joy
I never would have played so nonchalant,Sad
When I talk to my friends so quietly,Joy
"If all the snowflakes
Were candy bars and milkshakes",Joy
Or let another day begin,Sad
"Near, far, wherever you are",Joy
"And the Joy we share as we tarry there
None other has ever known",Joy
"All my money comin' clean, you can't pop this",Joy
She pictures a soul,Sad
Me and papi on the same pills,Joy
I let my guard down and you pulled the rug,Sad
"If you don't cut open the stomach
The corpse will rise and float
The victim is discovered dead
Rotting organs bloat",Fear
"And oh, I've only caused you pain, you know",Sad
O Lord I bring an offering to you,Joy
"Every occasion, know I'm ready for the funeral",Sad
And I don't need no carrying on,Sad
"There are lots and lots of colors, everywhere we look",Joy
"So they bleed from me, yeah they bleed and",Fear
Scattered all around the floor,Sad
To hide its face and cry,Sad
"look at all those pretty flowers, wow",Joy
Once I was seven years old my momma told me Go make yourself some friends or you'll be lonely ,Fear
And each must play a part.,Sad
The funk of forty thousand years,Fear
Hallelujah We've been found,Joy
Also on the faces of people…,Joy
Melt the clouds of sin and sadness,Joy
"Touch your lips just so I know
 In your eyes, love, it glows so 
I'm bare-boned and crazy for you",Joy
"I'm reaching for you, are you feeling it too",Sad
"Don't stop, keep it moving",Joy
All miracles and dreams realize for me through faith,Joy
"In the dark, watching
Stalking your every move
I know when you're all alone",Fear
Another day just passd by,Sad
Someday at Christmas there'll be no wars,Joy
Oh I'm afraid of the sunlight,Sad
I never knew lonely could tear you in two,Sad
You pick me up when I fall down,Joy
So long,Joy
I hope that you're well,Fear
But it hurts so bad i can't take it any longer,Fear
"Looking down on empty streets, all she can see",Sad
Hands of the dead are pulling me downward,Fear
"On the day that she left, He died, but it did not show.",Sad
"Here I go, playin' star again, there I go, turn the page",Sad
Make them suffer ,Fear
"Gotta change my answering machine, now that I'm alone",Sad
I could die as a happy man I'm sure,Sad
To tell you I'm sorry for everything that I've done,Sad
"Don't cut me down, throw me out, leave me here to waste",Sad
And this place could be much,Joy
"Orange is a pumpkin, orange is a carrot",Joy
Loving can hurt,Fear
You know I never really fright to get night time,Joy
"I've died, I've been eaten from inside",Fear
"When I believed in forever, and everything would stay the same",Sad
And all the lights that lead us there are blinding,Joy
My bones now shatter and explode,Fear
I'll look for you in old Honolul-a,Sad
With the guts I've extracted,Fear
She goes with me to a blossom world,Joy
"I'm all out of love, I'm so lost without you",Sad
"One happy morning people will share
A world where people care",Joy
Does a ton-up on his sleigh?,Joy
"But it's taken some time, yeah",Sad
"To be your favorite jacket, just so I could always be near",Joy
The evil of the thriller,Fear
And when someone else instead of me,Joy
"And the way the sunlight plays upon her hair
I hear the sound of a gentle word
On the wind that lifts her perfume through the air",Joy
"I'm giving you all my love
I'm still looking up",Joy
"The sight of death drives me nuts, I must kill, to control my brain",Fear
"""Jesus Christ is born!""",Joy
Their tears are filling up their glasses,Sad
"The smell of death is all around
And the night when the cold wind blows",Fear
Justice will be found in murder,Fear
Blood on their scepters of flesh,Fear
It's the loneliest number since the number one,Sad
I'm not doing much better,Sad
"You are gone now, gone but not forgetten",Sad
Cause I got dead brothers in Lauderdale south,Fear
His arms were full of presents and they were all for me,Joy
Deceptive tongues hewn by my blade,Fear
Jesus you are my rescue,Joy
I am the one hiding under yours stairs,Fear
Guess I'd rather hurt than feel nothing at all,Sad
Phyto-nutrients on my tray,Joy
"Playing with bombs like kids play with toys
One warm December our hearts will see
A world where men are free",Joy
"Somethings wrong, shut the light
Heavy thoughts tonight
And they aren't of Snow White
Dreams of war, dreams of liars
Dreams of dragon's fire
And of things that will bite
Sleep with one eye open
Gripping your pillow tight",Fear
But now I know how much it means,Sad
"I like you more, the world may know but don't be scared",Joy
He had no one to fall on but me.,Fear
"If you jump into your bed,
Quickly cover up your head,
Don't you lock the doors you know that sweet Santa Claus is on the way.",Joy
Be loved in return to the end of your days,Joy
So I'm looking for an open door,Sad
Scared to death we'll never touch again ,Fear
"There's gonna be good times, there's gonna be good",Joy
"He walks like a human being
He eats like everybody does yeah!",Fear
"Because since there's no more you, there's no more anniversary",Sad
I must die while suffering,Fear
"I'm too hot (hot damn)
Called a police and a fireman
I'm too hot (hot damn)",Joy
Santa Claus is comin' to town,Joy
"Celebrating the special times we share
Happiness, 'cause love is in the air",Joy
"When you smile and you sing
Everything is in tune and it's spring
And life flows along
With a smile and a song",Joy
"Through the rivers of my childhood, they come swimming into view.
 And all the moments that I treasured still lie buried in my youth",Joy
"No, I ain't gonna comb my hair
'Cause I ain't goin' anywhere
No, no, no, no, no, no, no, no, no, oh
I'll just strut in my birthday suit
And let everything hang loose
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah",Joy
But I guess it is way too late to say,Sad
"When it's covered in all the colored lights
Where the runaways are running the night
Impossible comes true, it's taking over you
Oh, this is the greatest show",Joy
"Party Rock!
Yeah
Wooo!
Let's go!",Joy
Walkin' with that troublesome guy,Sad
They're all dead; they're all dead.,Fear
The ROC handle like Van Axel,Joy
You ring the bell before they count me out,Joy
"But just maybe, like a ukulele
Momma made a baby
Really don't mind the practice
'cause you're my little lady",Joy
You make a sound we'll end your fucking life,Fear
"Oh, we could be the stars, falling from the sky",Joy
"Let's celebrate the world's rebirth
We say let it grow",Joy
You seem so lost,Sad
You'd be gone from me so soon,Sad
"We've got to walk on, walk on through temptation,",Joy
"Barney shows us lots of things
Like how to play pretend
ABC's, and 123's",Joy
You know I can't let you slide through my hands,Sad
"If I lived under the sea, sea, sea
I think it would be neat as it could be, be, be",Joy
"Cause it's tragedy and it'll only bring you down,",Sad
I remember I cried when my father died,Sad
"Said the king to the people everywhere
Listen to what I say
Pray for peace people everywhere
Listen to what I say
The child, the child
Sleeping in the night
He will bring us goodness and light",Joy
"Each day we grow a little taller
A little bigger not smaller",Joy
"All the angels sing ""Hallelujah!",Joy
"Over the fields we go
Laughing all the way",Joy
"If it doesn't rain, we'll stay all day",Joy
Friends are there to help each other when one is feeling sad,Joy
a garden in the rain,Joy
I miss the taste of a sweeter life,Sad
In Thy tender care,Joy
I'll say goodbye to love,Sad
The love light in your eyes,Joy
Who doesn't look right through me,Sad
"I've had one desire since I was born
To see my body ripped and torn
To see my flesh devoured before my eyes
I'm here for you I volunteer as a human sacrifice",Fear
"And as we trim the tree
How much fun it's gonna be together
This Christmas",Joy
"To hold you in my arms
To promise you my love
To tell you from my heart
You're all I'm thinking of",Joy
Yeah if that bitch walk up trippin' she get that mush time,Joy
I'm so far down away from the sun again,Sad
"Wish I could, I could've said goodbye",Sad
"Oh, it's good to be true if our hopes and dreams come true",Sad
It's easy All you need is love,Joy
As we walk on by,Joy
I know there's gonna be,Joy
Until the bitter tears fall one by one ,Sad
You know I'm not even scared of the dark,Joy
People slow dancing everywhere I go,Sad
And all of the things that we had behind,Sad
"I'm pickin' up good vibrations (good vibrations, oom bop bop)",Joy
"You start a conversation you can't even finish it
You're talking a lot, but you're not saying anything
When I have nothing to say, my lips are sealed
Say something once, why say it again?",Fear
I sing myself a quiet lullaby,Sad
"Under the arc of a weather stain boards
Ancient goblins, and warlords
Come out the ground, not making a sound",Fear
"Come on the livin' dead, ooh you're in the soup",Fear
You know how I feel,Joy
Seems like everyone around me is on their honey moon,Sad
This beautiful lady that's walking around with me,Joy
"There's a time that I remember, when I did not know no pain",Sad
One is the loneliest number that you'll ever do,Sad
"The more I climb
The freezing ice",Fear
"Yeah I stopped using my head, using my head, let it all go",Joy
When someone else instead of me,Joy
I want to kiss your smile,Joy
And I wonder if I ever cross your mind,Sad
"But your thoughts will soon be wanderin', the way they always do",Sad
Is day that I'm glad I survived,Sad
"Are you lonesome tonight,",Sad
"I close my eyes and I can see
The world that's waiting up for me
That I call my own",Joy
I'm in love with your body,Joy
"Hey, hey
You, you
I know that you like me",Joy
"So here it is, Merry Christmas
Everybody's having fun
Look to the future now
It's only just begun",Joy
How you think I got the name Hova?,Joy
"They know that Santa's on his way
He's loaded lots of toys and goodies on his sleigh",Joy
"She shows me everything she used to know 
Picture frames and country roads 
When the days were long and the world was small
She stood by as it fell apart
Separate rooms and broken hearts 
But I won't be the one to let you go.",Fear
Anybody could be that guy,Joy
See the butterflies color's,Joy
"Lookin' in the mirror, I can see my eyes are glowin'",Joy
I'm in love with the shape of you,Joy
I wanna know would you stick around?,Fear
I am scared of him,Fear
It's not warm when she's away,Sad
May you find kindness in all that you meet,Joy
I know I'll see you again,Sad
"When I'm in the shower,
I'm afraid to wash my hair
Cause I might open my eyes and find someone standing there!",Fear
Women seem wicked when you're unwanted,Fear
And our goal's in sight,Joy
Surely time will lose these bitter memories,Sad
You feel the cold hand and wonder if you'll ever see the sun,Fear
It's day that I can't stand,Sad
"You are the sunshine of my life
That's why I'll always stay around
You are the apple of my eye
Forever you'll stay in my heart",Joy
Cherishing this painful death,Fear
With emptiness all around,Sad
Your predetermined fate is in our hands,Fear
"It is easy to say, but it's never the same",Sad
Blood is everywhere what a retched sight,Fear
When put my ear to your chest girl,Joy
"I'm warmed up now, let's go",Joy
So stop playing girl and come on home (come on home),Sad
"If you're happy and you know it shout, hooray, hooray",Joy
"Good God, let me give you my life",Sad
That beneath or around some of these very same olive trees,Joy
"Every time I have a good time you do too (good time, hey)",Joy
"Bleed, it says, bleed you will",Fear
Make her believe,Joy
Make it somehow all seem worthwhile,Sad
"The colors of the rainbow so pretty in the sky
Are also on the faces of people passing by
I see friends shakin' hands saying, ""How's it?",Joy
Sapphire moonlight,Joy
Love is like oxygen,Joy
"And I will always love you
I will always love you, you
I hope life treats you kind
And I hope you have all you've dreamed of
And I wish to you Joy and happiness",Joy
"And then she asks me, Do I look all right?",Joy
If you wanna go then I'll be so lonely,Sad
"At Christmas time, we let in light and banish shade",Joy
And as I wonder where you are,Sad
Think I'm on my way,Sad
"Little darlin' gonna make it through the storm
You'll never be alone",Joy
"In this garden
This lovely garden",Joy
It seems I'm far away,Joy
"Looking so crazy, your love's (hey)",Joy
"I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface, where they can't hurt us
We're far from the shallow now",Joy
You'll be the prince and I'll be the princess,Joy
I'm changing all of the stations,Sad
"This is the part when I say I don't want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more",Joy
"And when I look in my window
So many different people to be
That it's strange",Fear
"And it's drivin' me crazy, 'cause I'm so",Sad
"There's somethin' in the wind today that's good for everyone
Yes, faith is our hearts today, we're shinin' like the sun",Joy
"Strangulation caused her death,
Just like all the others.",Fear
"When the snowman brings the snow,
Well he just might like to know.",Joy
But your a-bone's busted and you're through the door,Fear
"They tear themselves apart, offal covers the ground",Fear
"When you get off at your station alone, He'll know that you are.",Sad
"Put up the brightest string of lights I've ever seen
Slice up the fruitcake
It's time we hung some tinsel on that evergreen bough",Joy
"And I'm lost, and I'm lost in that old dumb fire",Sad
"Well, I found a woman, stronger than anyone I know
She shares my dreams, I hope that someday I'll share her home",Joy
"You're the only thing I know like the back of my hand,",Sad
I have my freedom but I don't have much time,Sad
But they're just afraid of something they can't understand,Sad
Now my heart feel like December when somebody say your name,Sad
My heart does not beat.,Fear
"Ripping out your insides, chewing on your spleen",Fear
What if I'm down?,Sad
And the endlessness that you fear,Fear
"Bone saw, meat cleaver, filleting knife",Fear
You got the fear,Fear
Sending SOS from this tiny box,Sad
I'ma have a very good time,Joy
Next thing you know cold steel in your face,Fear
"If you give her love and care
Old crow watching hungrily",Joy
Joyful joyful we adore You,Joy
there was a garden a beautiful garden that we all want to see someday,Joy
Cut me into little pieces,Sad
"Chainsaw in my bleeding hands
As I start to cut you in two
Your guts are steaming out
And I just love the sight",Fear
Where's this place called lonely street?,Sad
No one on earth deserves the praises that we sing,Joy
Every breath reminds me of pain,Fear
"And it's so, it's so sad to think that she don't see what I see",Sad
So hard to breathe,Sad
This night is cold in the kingdom,Sad
Once more you open the door,Joy
Then you get some water and pour it all around,Joy
"Colors all around, all around the world
For every boy and girl",Joy
"Got you stuck on my body, on my body like a tattoo",Joy
Make your wish tonight,Joy
Listen close and you can hear me shout,Fear
"They're all dead, by strangulation.",Fear
Gone but not forgetten,Sad
Feel so low,Sad
"
Carve me up, slice me apart
Suck my guts, lick my heart
Chop me up I like to be hurt
Drink my marrow and blood for dessert",Fear
"Never mind, I'll find someone like you",Sad
And you say you belong to me and ease my mind,Joy
"When I look over my shoulder
What do you think I see
Some old cat lookin' over his shoulder at me
And he's strange
Sure is strange strange",Fear
And love so distant and obscure,Sad
Tonight let's get some and live while we're young,Joy
In this theater that I call my soul,Sad
"Tennis shoes, don't even need to buy a new dress",Joy
"Take my hands, my dear, and look me in my eyes",Joy
Nothing you can see that isn't shown,Joy
"I watch your agony
I am released
From years of pain
Your death averted
My becoming insane
You are dead",Fear
Give me some sunshine,Sad
It's just no good anymore since you went away,Sad
Kill the people,Fear
Let's just let it go,Sad
"It's the hap-happiest season of all
With those holiday greetings and gay happy meetings",Joy
"And we grow a little friendly too
'Cause I'm growing and so are you",Joy
"I won't give up, no I won't give in
Till I reach the end",Joy
Their naked bodies putrify.,Fear
For times when my life seems so low,Sad
Everybody scream,Fear
And I'm sorry to my unknown lover,Sad
"Toyland, toyland
Little girl and boy land
While you dwell within it
You are ever happy there",Joy
"Oh Mr. Sun, Sun
Mr. Golden Sun
Please shine down on me",Joy
We go to a party and everyone turns to see,Joy
Even the stars in the sky can't outshine your eyes,Joy
"Maybe the world could be ours
Tonight",Joy
Cause my heart breaks a little when I hear your name,Sad
Happy together,Joy
There's nowhere to run,Sad
"You said I don't care what I'm thinking about
But I'm thinking of you right now
Night time is my time
Dreamin' of moving
Falling in space",Fear
"It's close to midnight, and something evil's lurking in the dark",Fear
"And everyone is singing
I hear those sleigh bells ringing",Joy
"There's always a new game
Or one with a new name
A game we can teach everyone",Joy
But I still know your birthday,Sad
I don't wanna miss you like this,Sad
And I am feeling so small,Sad
"Gristle, debauchery with dead bodies, turning green",Fear
"But it's the only way I hear your voice, anymore",Sad
We're giving love in a family dose,Joy
"It's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you",Joy
"Baby, I'm dancing in the dark with you between my arms
Barefoot on the grass, we're listenin' to our favorite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, darling, you look perfect tonight",Joy
"Staring at the ceiling in the dark
Same old empty feeling in your heart
Cause love comes slow and it goes so fast - you",Joy
"Step aside, open wide, It's the loner.",Sad
"Hey, I just met you,
And this is crazy,
But here's my number,
So call me, maybe!",Joy
You're a good good father,Joy
"Have you ever been alone at night
Thought you heard footsteps behind
And turned around and no-one's there ?",Fear
Where you can't see or hear they come,Fear
The boundary of my flesh.,Fear
Then I think to myself what a wonderful world,Joy
(High) high hopes we have for the future,Joy
Each time you pass my way,Sad
(Can't get over us) And I'm stronger than this,Sad
Your fate was sealed today,Fear
"How many insects come here and go
In an English country garden?",Joy
"I'm not myself, lately I'm foolish, I don't do this",Joy
If you're a party freak then step on the floor,Joy
Cause with my teddy right here alongside me,Joy
Helps me feel good every day,Joy
"Now that she is dead her
Body lays still. Now her unborn child is ready for extraction. I slice
Open the uterus and the placenta rushes out. Mixed with blood it pools",Fear
"Falling into you, baby 
Even electricity can't compare to 
 What I feel when I'm with you",Joy
"I want to follow your star wherever it leads me,",Joy
"You and your big ideas
Taking your time with me",Joy
So maybe I'll see you there We can forget all our troubles,Joy
"God of glory, Lord of love",Joy
"You and I get so damn dysfunctional, we start keeping score",Joy
"And I don't know how I can do without, I just need you now",Sad
"Once it's gone the
Severed uterus is bare and then the birth begins. I grab the child by
His leg and rip him from the womb. His mother's entrails pull out and
Spread upon the bed.",Fear
"While you're asleep
They'll enter your skin",Fear
So lonely,Sad
"It's beginning to look a lot like Christmas
Soon the bells will start
And the thing that will make 'em ring is the carol that you sing
Right within your heart",Joy
Beneath the stains of time,Sad
"Every night I wait to see
In the dark, watching",Fear
I'm looking for that lonely street,Sad
Never wishing to hide the tears,Sad
"Hello darkness, my old friend",Sad
Nothing you can do but you can learn how to be you in time,Joy
Just give me your smile in your heart,Joy
(love is like oxygen),Joy
"It's Christmas time, and there's no need to be afraid",Joy
"Drowning, blood is surrounding me",Fear
You will never go cold or hungry,Joy
Just take a seat they're always free,Sad
"Tear in my eye, I drive through the night, as far as I can from you",Sad
I hope he holds your hand,Sad
"So honey, now, take me into your loving arms ",Joy
"And the night when the cold wind blows
No one cares, nobody knows",Fear
Drive the dark of doubt away,Joy
I'm in love and it's a sunny day,Joy
"Don't say no no no no no
Just say yeah yeah yeah yeah yeah
And we'll go go go go go
If you're ready, like I'm ready",Joy
And the days feel like years when I'm alone,Sad
"Oh, I feel so sorry",Sad
Giver of Eternal gladness,Joy
"It's a love story baby just say 'Yes'""",Joy
If you go down in the woods today,Joy
And I know we haven't talked in a while,Sad
Stars when you shine,Joy
Bless you with love for the road that you go,Joy
"Yeah, is it too late now to say sorry?",Sad
"And if you ask, I'll show love is the word forever,",Joy
And that you can't stop missing me,Sad
"Please, don't leave me lonely",Fear
I'll never be your mother's favorite,Sad
Looking out for a place to go,Joy
"The world has gotta smile today
The world has gotta glow
There's no such thing as strangers",Joy
I miss everything we do,Sad
Heads removed of their faces lay by me feet,Fear
"You know that there is no one, I can realate to",Sad
I'll tell you my sins and you can sharpen your knife,Sad
And there's no place I can go,Sad
"I've been playing myself, baby, I don't care",Joy
Come on and fly with me,Joy
We like colors (We like colors),Joy
"I Press the
Blade to her throat. Dull and with crooked teeth, I begin to saw
Through her neck until I reach her spine. ",Fear
"With games we all know, we can get up and go
We can make up new games and pretend",Joy
You're every step I make,Joy
Shredded brain tissue is mine,Fear
Was born on Christmas day,Joy
"She put him out,  like the burning end of a midnight cigarette",Sad
"I hear babies cry and I'd watch them grow
They'll learn much more than we'll know
And I think to myself
Oh, what a wonderful world
I think to myself, yes",Joy
I'm tired of living in the dark,Sad
"There's no easy way, it gets…",Sad
I look and stare so deep in your eyes,Joy
"Cause for the first time in forever
There’ll be music, there’ll be light!
For the first time in forever
I’ll be dancing through the night",Joy
sharing everything you do,Sad
"Vitamin's, minerals, every day",Joy
Down on my knees,Sad
I must have called a thousand times,Sad
When you're strange No one remembers your name,Fear
"Oh, this phantom driver down in the ground",Fear
The feelings disappear,Sad
"Don't cry, I'll see you by and by",Joy
Sad words in the air,Joy
"Dracula During the day he' s my friend
But when the night falls
He' s no friend of mine",Fear
"The little card you give me
Will touch my heart for sure",Joy
Colorful food makes a colorful meal,Joy
"My first love
You're every breath that I take
You're every step I make",Joy
Nobody shows up unless I'm paying,Sad
Stars are shining bright,Joy
"For we need a little Christmas, right this very minute
Candles in the window, carols at the spinet",Joy
It's like a casting call for 'Romeo and Juliet',Sad
But now that you came into my life,Joy
"Cheers to the wish you were here, but you're not",Sad
Eyes dislodging from their sockets,Fear
Your heart is pure and so beautiful,Joy
Are rolling by like thunder now,Joy
I'll be satisfied if I play along,Joy
"But sometimes I like to close my eyes
And imagine what it'll be like when summer does come
Bees'll buzz, kids'll blow dandelion fuzz",Joy
"In a world devoid of life, you bring colors",Joy
And everything went from wrong to right,Joy
Now I'm slipping through the cracks of your cold embrace,Sad
"When the sun comes out, the light shines down",Joy
"Pleasure from the dead, complete satisfaction
I open the coffin
Sick thoughts run through my head as I stare
At the dead, over and over, I can't escape
I begin the dead sex",Fear
"Well, I found a girl, beautiful and sweet
I never knew you were the someone waiting for me",Joy
Do you ever wish that I was there,Sad
All by myself Don't wanna be,Sad
"Oh, I'm feelin' so good, got to raise my hands and rejoice",Joy
"Wo! I feel good, I knew that I would, now",Joy
You are someone else,Sad
Three little birds Pitch by my doorstep,Joy
"Just take a look at Barney, see what I mean",Joy
For a thousand years or more,Sad
You left them running through my head,Sad
I'm fallin' ,Sad
Kill with speed,Fear
Where those fishing boats,Sad
"Mmmm, must be the season of the witch",Fear
Bleeding from your arse sudden blood ejection,Fear
I'm sick and tired of walkin' around like this,Sad
I can feel you fade away,Sad
All the years of useless search,Sad
Where broken dreams and mem'ries meet,Sad
" he' s gonna get you
'Cause he' s not human at all",Fear
But I'm ready to learn Of the power of love,Joy
Fingers like snakes and spiders in my hair,Fear
And if you haven't seen what is purple and green,Joy
I believe that the heart does go on,Joy
Two can be as bad as one,Sad
There's no escaping the jaws of the alien this time,Fear
That all ends when I'm with you,Joy
The killer chops the body,Fear
Red makes me think of an apple or a cherry,Joy
The spleen I did chew,Fear
Killer unknown,Fear
I just can't seem to find it,Sad
Can I please come down?,Sad
"Imagine me and you, I do",Joy
Livin' alone,Sad
"Early sun rising, in and out of hotel rooms
Highways winding, another town to push on through
Painted memories in my mind",Joy
To try and apologize for my mistakes,Sad
But this is not the end,Sad
