Lyric,Title,Singer,Emotion,Label
And you are my man,The Power Of Love,Celine Dion,Joy,0
Your daddy can't even look me in the eye,It Will Rain,Bruno Mars,Sad,2
Everything's gonna be alright,I'm a Mess,Bebe Rexha,Sad,2
Do you see how much I need you right now?,When You're Gone,Avril Lavigne,Sad,2
"I'm so over bein' blue, cryin' over you; and",100 Years,Five for Fighting,Sad,2
"Painful rain, sun and rain
Find my way in nature's chain",Garden Song,John Denver,Joy,0
"Heed, it commands, heed my will",Bleed,Meshuggah,Fear,3
I am all alone,My Love,Westlifes,Sad,2
"Always and forever I know, I can't let you go","I Like You So Much, You'll Know It",Honey Jemlan,Joy,0
Whenever you're around and whenever you're around,Better With You,Austin Mahone,Joy,0
Watch her come to my lights like a reindeer,I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
"Nigga right now, I'm high as ever but however",The Spiteful Chant,Kendrick Lamar,Anger,1
Niggas gonna get dealt with rhymes,Hip Hop Sinister,Hopsin,Anger,1
"She becomes by dead, decayed child sex slave
Her neck I hack, cutting through the back
I use her mouth to eject",Necropedophile,Cannibal Corpse,Disgusting,4
Here you go create another fable,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"When you came to the stable next morning
You found a pile of hair, teeth, and hooves
I hid around the back, to listen to you cry
Then i beat an old black lady to death with the leg bone
I ate your horse",I Ate Your Horse,Anal Cunt,Disgusting,4
"Use 'em in the morning, at noon and night
'Cause it's a great way to be polite
'Please and thank you'
They're the magic words",Please And Thank You,Barney,Joy,0
Another day has gone,You Are Not Alone,Michael Jackson,Sad,2
"I could make you happy, make your dreams come true",I Swear,All-4-One,Suprise,5
The delicate beginning rush,Come Back...Be Here,Taylor Swift,Sad,2
"Rev it up, twirl my la-la like profits",Spikes,Death Grips,Anger,1
And you motherfuckers wonder why I start shit,Get It On The Floor,DMX,Anger,1
I want to grow old with you,I Wanna Grow Old With You,Westlifes,Fear,3
I was so scared to face my fears,When we are young,Adele,Fear,3
Were just thrown away,Sometimes I Cry,Eric Benét,Sad,2
[Honk],Angry White Boy Polka,Weird Al Yankovic,Anger,1
This shit here feels like a whole entire world collapsed,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
Brighter than tomorrow,heal the world,,Joy,0
Who stands in the fire beside me,Jesus,Chris Tomlin,Suprise,5
Acting so damn mysterious,Price Tag,Jessie J,Disgusting,4
And if your friends jump in,Move Bitch,Ludacris,Anger,1
We apologize if you ever knew,The Spiteful Chant,Kendrick Lamar,Anger,1
"I'm all out of love, what am I without you",All Out of Love,Air Supply,Sad,2
"What the fuck, what the fuck, what the fuck, nigga",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"Desmond takes a trolley to the jeweller's store
Buys a twenty carat golden ring
Takes it back to Molly waiting at the door
And as he gives it to her she begins to sing","Ob-La-Di, Ob-La-Da",The Beatles,Joy,0
To tell you I'm sorry for breaking your heart,Hello,Adele,Sad,2
And count another quick meal,I Don't Give a Fuck,Tupac Shakur,Anger,1
Call me Richochet Rabbit,Crunk Muzik,The Diplomats,Anger,1
Actin' like they ain't niggas that want me,Ring,Cardi B,Disgusting,4
Is light years away,The Power Of Love,Celine Dion,Joy,0
That all of my words will always be low,I’m a Mess,Ed Sheeran,Sad,2
Cradles in the trees,Song of the sea,Nolwenn Leroy,Joy,0
Careful,bury a friend,Billie Eilish,Anger,1
Following a nigga and shit,I Don't Give a Fuck,Tupac Shakur,Anger,1
I would've said what I wanted to,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
"Palpitations spew a foetus
Sprawling in this mess...
Flowing lochial discharge
Of copious womb lining torn",. Embryonic Necropsy and Devourment,Carcass,Disgusting,4
Grapple with headless bodies,Bloodlands,Cannibal Corpse,fear,3
You wanted to,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"Tim is fucking really gay
(Fuck you)",Tim is gay,Anal Cunt,Disgusting,4
"Under the moonlight, you see a sight that almost stops your heart",Thriller,Michael Jackson,Fear,3
When I was at my worst,Maps,Maroon 5,Sad,2
"(Uh oh, uh oh, uh oh, oh, no, no) Fall back, young, ever since I made the change over",Crazy in Love,Beyoncé,Joy,0
Ain't no sunshine when she's gone,Ain't No Sun Shine,Bill Withers,Sad,2
The map that leads to you,Maps,Maroon 5,Sad,2
"Got me looking so crazy right now, your touch",Crazy in Love,Beyoncé,Joy,0
"Tell me, who's the biggest gang of niggas in the city",I Don't Give a Fuck,Tupac Shakur,Anger,1
I can see through you,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"Let's chop some Broccoli
(Broccoli na - na - na)",Vegetable Song,Singing Walrus,Joy,0
He's the hairy-handed gent,Werewolves Of London,Warren Zevon,Fear,3
But everybody's got somebody but me,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
Dumpin' your dead body inside of a fuckin' trash can,Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"And I'm a drop it on your f***in' head, yeah",Drop the World,Lil Wayne,Anger,1
"Cause you fittin' to get stuck, stoned, and snuffed",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
Stay to myself like loners do,The Spiteful Chant,Kendrick Lamar,Anger,1
"Start dumpin' and rippin',… ",Crunk Muzik,The Diplomats,Anger,1
Downtown everything's waiting for you,Downtown,Petula Clark,Joy,0
"Here to spark a nigga, break apart a nigga",Get It On The Floor,DMX,Anger,1
And fuck trying to get with these crooked ass hypocrites,I Don't Give a Fuck,Tupac Shakur,Anger,1
"I talked to your dad, go pick out a white dress",Love Story,Taylor Swift,Joy,0
From in-school to before school to outta school,Kill You,Eminem,Anger,1
Let me let you go,when the party's over,Billie Eilish,Sad,2
"When I wake up in the morning, love",Lovely Day,Bill Withers,Joy,0
And in the sunshine we will play,I Build This Garden for Us,Lenny Kravitz,Joy,0
"Filth breaks out as I pre-cum
She's experiencing pain, I'm eagerly waiting",Robalni,Syphilic,Disgusting,4
I'll worship like a dog at the shrine of your lies,Take Me to Church,Hozier,Sad,2
I can feel the devil walking next to me.,Devil Walking,Mark Knight,Fear,3
You brighten my dat,A Smile in Your Heart,Harana,Joy,0
the sand tastes like blood,Bloodlands,Cannibal Corpse,fear,3
"Look at the stars, look how they shine for you and everything you do, like they were all yellow.",Cold Play,Yellow,Joy,0
It's day that Ill never miss,Lonely Day,System Of A Down,Sad,2
Tell me I'm alive.,Staring Through the Eyes of the Dead,Cannibal Corpse,fear,3
But talk behind my back every time I'm gone,The Spiteful Chant,Kendrick Lamar,Anger,1
And there's nothing I can do,Space Oddity,David Bowie,Sad,2
"Why would I hop in some beef (why?)
When I could just hop in a Porsche?",Motorsport,Cardi B and Nicki Minaj,Disgusting,4
"And nothin' but the truth so help your black ass?""",Fuck Tha Police,N.W.A.,Anger,1
"Satanic candles lit in my recording room,",Agony Fires,Army of the Pharaohs,Anger,1
You're every breath that I take,Endliess Love,"Lionel Richie, Diana Ross",Joy,0
Singing' don't worry about a thing Cause every little thing gonna be alright,Three Little Birds,Bob Marley,Joy,0
A thousand miles between us now,I Wanna Grow Old With You,Westlifes,Sad,2
The autumn leaves of red and gold,Autumn Leaves,Barney,Joy,0
And heard the sweetest sound,Song of the sea,Nolwenn Leroy,Joy,0
"Look down from the sky
And stay by my side
Until morning is nigh",Away in a Manger,Kidzone,Joy,0
"Run, run, run, run, run, run",Surfin' Dead, The Cramps,Fear,3
"Cause I'm falling deeper, baby, be prepared","I Like You So Much, You'll Know It",Honey Jemlan,Joy,0
I swear like the shadow that's by your side,I Swear,All-4-One,Suprise,5
"Blow this, blow this,",Breakin' Dishes,Rihanna,Anger,1
"Ah, in my heart.",Jesus Is Love,Commodores,Joy,0
"Ooh if I was in their shoes, I'd be doing the same thing",It Will Rain,Bruno Mars,Sad,2
I said fuck a stupid ho and fuck a stupid hoe,Stupid Hoe,Nicki Minaj,Disgusting,4
Colorful flowers and colorful folks,I Eat a rainbow,Jay Mankita,Joy,0
When you're ridin' sixteen hours and there's nothin' much to do,Turn the Page,Metallica,Sad,2
Better be careful when you bring my name up,Drop the World,Lil Wayne,Anger,1
Gets me frustrated,Complicated,Avril Lavigne ,Anger,1
A place where there's just loneliness,Lonely Street,Andy Williams,Sad,2
"Drop my tear, hold my joy, show my pride",The Spiteful Chant,Kendrick Lamar,Anger,1
Dance the night away,On The Floor,Jennifer Lopez,Joy,0
I never would have played so nonchalant,Come Back...Be Here,Taylor Swift,Sad,2
When I talk to my friends so quietly,Crazy in Love,Beyoncé,Joy,0
"If all the snowflakes
Were candy bars and milkshakes",,Barney,Joy,0
Or let another day begin,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
"Near, far, wherever you are",My Heart Will Go On,Celine Dion,Joy,0
I-I walk up in the world and cut the lights off,Drop the World,Lil Wayne,Anger,1
"And the Joy we share as we tarry there
None other has ever known",In the Garden, Brad Paisley,Joy,0
"And his heart belongs to that sweet, little, beautiful, wonderful, perfect All-American girl.",All-American Girl,Carrie Underwood,Suprise,5
Blunt(blunt) blunt (blunt) blunt (blunt) blunt (blunt) blunt,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
Get you in the night or early in the afternoon niggas,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"And as the years go by,
Our friendship will never die",You've Got a Friend in Me,Newman Randy and Randy Newman,Suprise,5
"All my money comin' clean, you can't pop this",I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
She pictures a soul,Mercy Street,Peter Gabriel,Sad,2
Me and papi on the same pills,I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
And you about to get ran the fuck over,Move Bitch,Ludacris,Anger,1
(Guide us) guide us to the Light,We Three Kings,Kirk Franklin,Suprise,5
While this cops bragging about the nigga he's jacking,I Don't Give a Fuck,Tupac Shakur,Anger,1
I let my guard down and you pulled the rug,Someone You Loved,Lewis Capaldi,Sad,2
"If you don't cut open the stomach
The corpse will rise and float
The victim is discovered dead
Rotting organs bloat",Disposal of the Body,Cannibal Corpse,fear,3
"And oh, I've only caused you pain, you know",I’m a Mess,Ed Sheeran,Sad,2
To the goons and the heights its all tato (TATO!),Crunk Muzik,The Diplomats,Anger,1
"Hulk, you're trapped in my medicine ball",Drop the World,Lil Wayne,Anger,1
O Lord I bring an offering to you,Christmas Offering,Casting Crowns,Joy,0
"Your first was a whore
She didn't want intercourse
Spilling your sperm
On her mangled corpse",Confession of a serial killer,,Disgusting,4
"Every occasion, know I'm ready for the funeral",The Funeral,Band of Horses,Sad,2
You got skill?,Hip Hop Sinister,Hopsin,Anger,1
And I don't need no carrying on,Bad Day,Daniel Powter,Sad,2
To grow to praise me I'm makin 'em go crazy,Fight Music,D12,Anger,1
"Got a drink on my mind and my mind on my money,",Cheers,Rihanna,Suprise,5
"There are lots and lots of colors, everywhere we look",Colors All Around,Barney,Joy,0
"Cause the next time you see me... ha, I will kill you",Hollow Points,Unknown ,Anger,1
"But fuck it it's all good, the hood is up in The Source",Fight Music,D12,Anger,1
"So they bleed from me, yeah they bleed and",Vampire ,Night Club,Fear,3
Scattered all around the floor,Need You Now,Lady Antebellum,Sad,2
I was somewhere stuck with a flame here,The Spiteful Chant,Kendrick Lamar,Anger,1
"I catch you backstage, give me the keys to the Escalade",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
These beads I'm swingin is stingin 'em,Fight Music,D12,Anger,1
To hide its face and cry,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
"look at all those pretty flowers, wow",Colors All Around,Barney,Joy,0
Once I was seven years old my momma told me Go make yourself some friends or you'll be lonely ,7 Years,Lukas Graham,Fear,3
And each must play a part.,Are You Lonesome Tonight,Elvis Presley,Sad,2
"Slim Shady, brain dead like Jim Brady",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
The funk of forty thousand years,Thriller,Michael Jackson,Fear,3
Ice my wrist-es then I piss on bitches,Stupid Hoe,Nicki Minaj,Disgusting,4
Gats in the truck,Crunk Muzik,The Diplomats,Anger,1
"This kind of music, use it, and you get amped to do shit",Fight Music,D12,Anger,1
"Meat hook penetration. Rectal defenestration. A morbid row of guts & gore, with your mangled bowels scattered on the floor","NAILED THROUGH HER CUNT

",Aborted,Disgusting,4
Hallelujah We've been found,Hallelujah,BarlowGirl,Joy,0
Also on the faces of people…,What a Wonderful World,Ledisi,Joy,0
Melt the clouds of sin and sadness,Joyful,Brenton Brown,Joy,0
"Touch your lips just so I know
 In your eyes, love, it glows so 
I'm bare-boned and crazy for you","Crash Into Me

","Dave Matthews

",Joy,0
"I'm reaching for you, are you feeling it too",All Out of Love,Air Supply,Sad,2
"Don't stop, keep it moving",On The Floor,Jennifer Lopez,Joy,0
Labeled and known as a young Pac to the public,Crunk Muzik,The Diplomats,Anger,1
All miracles and dreams realize for me through faith,I Believe,Natalie Grant,Joy,0
"But in the shadow of the hospital
At 5:08
I saw God today",I Saw God Today,George Strait,Suprise,5
"In the dark, watching
Stalking your every move
I know when you're all alone",Fucked With a Knife,Infant Annihilator,Fear,3
Another day just passd by,I Wanna Grow Old With You,Westlifes,Sad,2
"Fuck this rap shit, we clap bitch, two in ya body",Move Bitch,Ludacris,Anger,1
I know You hear my cry,Resurrection Power,Chris Tomlin,Suprise,5
Someday at Christmas there'll be no wars,Someday At Christmas,Stevie Wonder,Joy,0
Oh I'm afraid of the sunlight,sex money feelings die,Lykke Li,Sad,2
All I see is niggas dying fast,I Don't Give a Fuck,Tupac Shakur,Anger,1
I never knew lonely could tear you in two,Never Knew Lonely,Vince Gill,Sad,2
"Severe swerving, I tow lag",Spikes,Death Grips,Anger,1
You pick me up when I fall down,Thank You for Loving Me,Bon Jovi,Joy,0
So long,A Beautiful Morning,The Rascals,Joy,0
"I finally found you, my personal slaughter. As an appetizer, I'll let you taste my daughter",Eaten,Bloodbath,Disgusting,4
"Seems like yesterday we used to rock the show
I laced the track, you locked the flow",I'll Be Missing You,Faith Evans and Sean Combs,Suprise,5
I hope that you're well,Hello,Adele,Fear,3
She's just looking for something new,Angry White Boy Polka,Weird Al Yankovic,Anger,1
But it hurts so bad i can't take it any longer,I Wanna Grow Old With You,Westlifes,Fear,3
"Looking down on empty streets, all she can see",Mercy Street,Peter Gabriel,Sad,2
I don't need no pussies to co-sign it,Hip Hop Sinister,Hopsin,Anger,1
"Bitch, watch out, watch out, watch out",Move Bitch,Ludacris,Anger,1
Man we gotta go get something to eat man,Many Men,50 Cent,Anger,1
Hands of the dead are pulling me downward,Bloodlands,Cannibal Corpse,fear,3
"On the day that she left, He died, but it did not show.",The Loner,Nils Lofgren,Sad,2
"Here I go, playin' star again, there I go, turn the page",Turn the Page,Metallica,Sad,2
Make them suffer ,Sentenced to Burn,Cannibal Corpse,Fear,3
"Gotta change my answering machine, now that I'm alone",100 Years,Five for Fighting,Sad,2
I could die as a happy man I'm sure,All I want,Joni Mitchell,Sad,2
To tell you I'm sorry for everything that I've done,Hello,Adele,Sad,2
About a black man with a black need,I Don't Give a Fuck,Tupac Shakur,Anger,1
"Don't cut me down, throw me out, leave me here to waste",Let me down slowly,Alec Benjamin,Sad,2
And this place could be much,heal the world,,Joy,0
"Orange is a pumpkin, orange is a carrot",Colors All Around,Barney,Joy,0
Loving can hurt,Photograph,Ed Sheeran,Fear,3
You know I never really fright to get night time,Me and My Teddy,Barney,Joy,0
"I've died, I've been eaten from inside",Eaten From Inside,Cannibal Corpse,fear,3
"When I believed in forever, and everything would stay the same",Memories,Maroon 5,Sad,2
"So stay calm shorty, when you see that palmed .40 (.40?)",Crunk Muzik,The Diplomats,Anger,1
And all the lights that lead us there are blinding,wonderwall,Oasis,Joy,0
My bones now shatter and explode,Eaten From Inside,Cannibal Corpse,fear,3
I'll look for you in old Honolul-a,"You're Gonna Make Me Lonesome When You Go (Take 1, Remake 2)",Bob Dylan,Sad,2
With the guts I've extracted,Addicted to Vaginal Skin,Cannibal Corpse,fear,3
She goes with me to a blossom world,Good Vibrations,The Beach Boys,Joy,0
"My glock bursts, leave in a hearse, I did worse",Bring da Ruckus,Wu-Tang Clan,Anger,1
"I'm all out of love, I'm so lost without you",All Out of Love,Air Supply,Sad,2
"One happy morning people will share
A world where people care",Someday At Christmas,Stevie Wonder,Joy,0
"You don't want none, no!",You Don't Want Drama,8Ball & MJG,Anger,1
Does a ton-up on his sleigh?,Merry Xmas Everybody,Slade,Joy,0
"But it's taken some time, yeah",Sometimes I Cry,Eric Benét,Sad,2
"Running blind in the dark
I will go to wherever you are",Wherever You Are,Kodaline,Suprise,5
"To be your favorite jacket, just so I could always be near","I Like You So Much, You'll Know It",Honey Jemlan,Joy,0
"You see them headlights, you hear that fuckin' crowd?",Move Bitch,Ludacris,Anger,1
The evil of the thriller,Thriller,Michael Jackson,Fear,3
And when someone else instead of me,Lovely Day,Bill Withers,Joy,0
I'll take your photo for ya,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"And the way the sunlight plays upon her hair
I hear the sound of a gentle word
On the wind that lifts her perfume through the air",Good Vibrations,The Beach Boys,Joy,0
"The reason I'm goin'
Is blood on the floor",Blood on the Floor,Fleetwood Mac,Suprise,5
"I'm giving you all my love
I'm still looking up",I Won't Give Up - Demo,Jason Mraz,Joy,0
"The sight of death drives me nuts, I must kill, to control my brain",Bloody Chunks,Cannibal Corpse,fear,3
"""Jesus Christ is born!""",God Rest Ye Merry Gentlemen,Meredith Andrews,Joy,0
"I thought it would be funny if your baby died
So i kicked you in the stomach","You’re Pregnant, So I Kicked You in the Stomach",Anal Cunt,Disgusting,4
I'm from that Harlem ho,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
While you movin' them thangs,Crunk Muzik,The Diplomats,Anger,1
"Half animal, half man",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
Their tears are filling up their glasses,Mad World,"Gary Jules, Michael Andrews",Sad,2
"Fed three meals a day, beaten twice as much
Painful but healthy pregnancy, stomach left untouched",Robalni,Syphilic,Disgusting,4
"So I pick the world up and I'm a drop it on your f***in' head, yeah",Drop the World,Lil Wayne,Anger,1
"The smell of death is all around
And the night when the cold wind blows",Ghost Town,Kanye West,Fear,3
Justice will be found in murder,They Deserve to Die,Cannibal Corpse,Fear,3
Blood on their scepters of flesh,Priests of Sodom,Cannibal Corpse,fear,3
"I'm the diamond in the dirt, that ain't been found",Many Men,50 Cent,Anger,1
And if you want your shit back you had to pay for that shit,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
Double dare ya,Double Dare Ya,Bikini Kill,Anger,1
It's the loneliest number since the number one,One Is The Loneliest Number,Three Dog Night,Sad,2
"Paz sittin' with artillery to blow you to bits,",Agony Fires,Army of the Pharaohs,Anger,1
"Cumulus in both hands, can't kill myself twice",Spikes,Death Grips,Anger,1
I'm not doing much better,Half a Heart,One Direction,Sad,2
"You are gone now, gone but not forgetten",I'll see you again,Westlifes,Sad,2
Cause I got dead brothers in Lauderdale south,Decoration Day,Drive-By Truckers,fear,3
(Stand up Shady)(Stand up),Angry White Boy Polka,Weird Al Yankovic,Anger,1
His arms were full of presents and they were all for me,Up On The Housetop,Kacey Musgraces,Joy,0
Deceptive tongues hewn by my blade,,Cannibal Corpse,Fear,3
"Die cocksucker, boom bap boom bap",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"I'm God's light, the type to illuminate in the darkness",Hollow Points,Unknown ,Anger,1
Jesus you are my rescue,Joyful,Brenton Brown,Joy,0
I am the one hiding under yours stairs,This Is Halloween,Danny Elfman,Fear,3
"For the debt I owe, gotta sell my soul",bury a friend,Billie Eilish,Anger,1
Guess I'd rather hurt than feel nothing at all,Need You Now,Lady Antebellum,Sad,2
"Better watch how you talk, when you talk about me",Many Men,50 Cent,Anger,1
Phyto-nutrients on my tray,I Eat a rainbow,Jay Mankita,Joy,0
"Than it's dead mothers open sores
It's guts paint the floor
It's flesh I shall gorge.",BABY KILLER,"DEVOURMENT

",Disgusting,4
"Eminem offend? No, Eminem'll insult",Kill You,Eminem,Anger,1
"Playing with bombs like kids play with toys
One warm December our hearts will see
A world where men are free",Jingle Bell Rock,Bobby Helms,Joy,0
"Them loud mouths, gotta hit 'em with the wide hook",Hollow Points,Unknown ,Anger,1
"The torch is lit, I scorch your clique, nigga I'm back",Hollow Points,Unknown ,Anger,1
"Somethings wrong, shut the light
Heavy thoughts tonight
And they aren't of Snow White
Dreams of war, dreams of liars
Dreams of dragon's fire
And of things that will bite
Sleep with one eye open
Gripping your pillow tight",Enter Sandman,Metallica,Fear,3
But now I know how much it means,I Wanna Grow Old With You,Westlifes,Sad,2
I come to every club with intention to do harm,Fight Music,D12,Anger,1
"I like you more, the world may know but don't be scared","I Like You So Much, You'll Know It",Honey Jemlan,Joy,0
"The song 'Guilty Conscience' has gotten such rotten responses.""",The Way I Am,Eminem,Anger,1
"Overdosin', no more coastin', no more toastin' over oceans",Bed of Lies,Nicki Minaj,Disgusting,4
He had no one to fall on but me.,Decoration Day,Drive-By Truckers,fear,3
"If you jump into your bed,
Quickly cover up your head,
Don't you lock the doors you know that sweet Santa Claus is on the way.",I Wish It Could Be Christmas Everyday,Wizzard,Joy,0
Be loved in return to the end of your days,Secret Garden,Bandsintown,Joy,0
So I'm looking for an open door,Let me down slowly,Alec Benjamin,Sad,2
Scared to death we'll never touch again ,Lonelier Than This,Steve Earle,Fear,3
"Ol' Reservoir Dogs, lay your grill on the canvas",Hollow Points,Unknown ,Anger,1
"It's fuckin' TR3YWAY!
It's King of New York, lookin' for the Queen
Uh, you got the right one, mm
L-let these-l-let these b-b-bitches know, nigga",FEfe,"6ix9ine, Nicki Minaj",Disgusting,4
"There's gonna be good times, there's gonna be good",I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
So bring it on,Bring da Ruckus,Wu-Tang Clan,Anger,1
"He walks like a human being
He eats like everybody does yeah!",Dracula,Lucky Dube,Fear,3
"I'm heroin in the needle, my emotions are see-through",Hollow Points,Unknown ,Anger,1
"Because since there's no more you, there's no more anniversary",100 Years,Five for Fighting,Sad,2
I must die while suffering,Dead human collection,Cannibal Corpse,Fear,3
"I'm too hot (hot damn)
Called a police and a fireman
I'm too hot (hot damn)",Updown Frunk,Bruno Mars,Joy,0
"I'm goin' up over the curb, drivin' on the median",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
Santa Claus is comin' to town,Santa Claus is comin' to town,Mariah Carey,Joy,0
"Celebrating the special times we share
Happiness, 'cause love is in the air","Merry Christmas, Happy Holidays",NSYNC,Joy,0
"When you smile and you sing
Everything is in tune and it's spring
And life flows along
With a smile and a song",With a Smile and a Song,Adriana Caselotti,Joy,0
"Through the rivers of my childhood, they come swimming into view.
 And all the moments that I treasured still lie buried in my youth",Days of Wine and Roses,Robin Gibb,Joy,0
My salvia silhouette commence shots,Spikes,Death Grips,Anger,1
I get more respect from the mother-fuckin' dope man,I Don't Give a Fuck,Tupac Shakur,Anger,1
And then your stuck up,Break Stuff,Limp Bizkit,Anger,1
"Psych says some bitch dumb, put a hex on me",Many Men,50 Cent,Anger,1
"No, I ain't gonna comb my hair
'Cause I ain't goin' anywhere
No, no, no, no, no, no, no, no, no, oh
I'll just strut in my birthday suit
And let everything hang loose
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah",The Lazy Song,,Joy,0
But I guess it is way too late to say,Do you ever,Justin Vasquez,Sad,2
"When it's covered in all the colored lights
Where the runaways are running the night
Impossible comes true, it's taking over you
Oh, this is the greatest show",The Greatest Show,Hugh Jackman,Joy,0
You pull up in that Honda,3Hunna,Chief Keef,Anger,1
And they blame it on Marilyn and the heroin,The Way I Am,Eminem,Anger,1
"Party Rock!
Yeah
Wooo!
Let's go!",Party Rock Anthem,LMFAO,Joy,0
Walkin' with that troublesome guy,It Will Rain,Bruno Mars,Sad,2
But sometimes these feelings can be so misleading,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"We are, we are",Angry White Boy Polka,Weird Al Yankovic,Anger,1
(Stand up Shady),Angry White Boy Polka,Weird Al Yankovic,Anger,1
Break it down It would be my honor to be your new step-father,Motherlover,Justin Timberlake and Andy Samberg,Disgusting,4
They're all dead; they're all dead.,"Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
The ROC handle like Van Axel,Crazy in Love,Beyoncé,Joy,0
You know what the movements like,Crunk Muzik,The Diplomats,Anger,1
You ring the bell before they count me out,Thank You for Loving Me,Bon Jovi,Joy,0
"But just maybe, like a ukulele
Momma made a baby
Really don't mind the practice
'cause you're my little lady",Banna Pancakes,Jack Johnson,Joy,0
I'll f***in',Drop the World,Lil Wayne,Anger,1
"Electric meat-shaver that's a modern man's saw,",Agony Fires,Army of the Pharaohs,Anger,1
You make a sound we'll end your fucking life,Code of the Slashers,Cannibal Corpse,fear,3
"Put-put it all up in his face, did I catch a case?",FEfe,"6ix9ine, Nicki Minaj",Disgusting,4
"Oh, we could be the stars, falling from the sky",Brighter Than the Sun,Colbie Caillat,Joy,0
"Let's celebrate the world's rebirth
We say let it grow",Let It Grow,The Lorax Singers,Joy,0
You seem so lost,Hey There Lonely Girl,Eddie Holman,Sad,2
You'd be gone from me so soon,Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
"We've got to walk on, walk on through temptation,",Jesus Is Love,Commodores,Joy,0
"Barney shows us lots of things
Like how to play pretend
ABC's, and 123's",Barney Theme Song,Barney,Joy,0
You know I can't let you slide through my hands,Wild Horses,The Rolling Stones,Sad,2
"If I lived under the sea, sea, sea
I think it would be neat as it could be, be, be",If I Lived Under the Sea,Barney,Joy,0
"Cause it's tragedy and it'll only bring you down,",Breathe,Taylor Swift,Sad,2
"Bitches too, you ain't nothin' but a girl to me",Kill You,Eminem,Anger,1
A clip full of blue-tips and a hand full of fire,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
So unless you're wanting to bless to the chest,Get It On The Floor,DMX,Anger,1
I remember I cried when my father died,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
"There is no army, no mountain can stop us",Can You See,Fifth Harmony,Suprise,5
"I'm from that Jackson, Tenn Ho",Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
"Said the king to the people everywhere
Listen to what I say
Pray for peace people everywhere
Listen to what I say
The child, the child
Sleeping in the night
He will bring us goodness and light",Do You Hear What I Hear,Carrie Underwood,Joy,0
"Each day we grow a little taller
A little bigger not smaller",Growing,Barney,Joy,0
You think you cute hoe? Take off them Gucci shades,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
But see me on the street and duck,Just Don't Give a Fuck (a cappella),Eminem,Anger,1
But at least have the decency in you,The Way I Am,Eminem,Anger,1
I'm triple platinum and tragedies happened in two states,Kill You,Eminem,Anger,1
"All the angels sing ""Hallelujah!",God Rest Ye Merry Gentlemen,Meredith Andrews,Joy,0
"Over the fields we go
Laughing all the way",Jingle Bells,Love to Sing,Joy,0
"It's never much, I'm war-torn in the cockpit",Spikes,Death Grips,Anger,1
"Yeah, yeah, yeah (yeah) yeah",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"For the niggas on lock, doing life behind bars",Many Men,50 Cent,Anger,1
"If it doesn't rain, we'll stay all day",Going on a Picnic,Raffi,Joy,0
Friends are there to help each other when one is feeling sad,Friendship Song,Barney,Joy,0
a garden in the rain,A Garden in the Rain, Connie Francis,Joy,0
I miss the taste of a sweeter life,Maps,Maroon 5,Sad,2
In Thy tender care,Away in a Manger,Kidzone,Joy,0
"Percision chop limbs after I body slam y'all,",Agony Fires,Army of the Pharaohs,Anger,1
"When the world's getting hard
I will go to wherever you are",Wherever You Are,Kodaline,Suprise,5
I'll say goodbye to love,Goodbye to Love,Carpenters,Sad,2
Cause I click and spray matics,Crunk Muzik,The Diplomats,Anger,1
The love light in your eyes,Wonderful Tonight,Eric Clapton,Joy,0
Who doesn't look right through me,Astronaut,Simple Plan,Sad,2
